CEST	ITEM	NCM/SH	DESCRIÇÃO
05.001.00	1	2523	Cimento

CEST	ITEM	NCM/SH	DESCRIÇÃO
09.001.00	1	8539	Lâmpadas elétricas
09.002.00	2	8540	Lâmpadas eletrônicas
09.003.00	3	8504.10.00	Reatores para lâmpadas ou tubos de descargas
09.004.00	4	8536.5	“Starter”
09.005.00	5	8543.70.99	Lâmpadas de LED (Diodos Emissores de Luz)


CEST	ITEM	NCM/SH	DESCRIÇÃO
10.001.00	1	2522	Cal
10.002.00	2	3816.00.1	Argamassas
10.002.00	2	3824.50.00	Argamassas
10.003.00	3	3214.90.00	Outras argamassas
10.004.00	4	3910	Silicones em formas primárias, para uso na construção
10.005.00	5	3916	Revestimentos de PVC e outros plásticos; forro, sancas e afins de PVC, para uso na construção
10.006.00	6	3917	Tubos, e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos, para uso na construção
10.007.00	7	3918	Revestimento de pavimento de PVC e outros plásticos
10.008.00	8	3919	Chapas, folhas, tiras, fitas, películas e outras formas planas, auto-adesivas, de plásticos, mesmo em rolos, para uso na construção
10.009.00	9	3919	Veda rosca, lona plástica para uso na construção, fitas isolantes e afins
10.009.00	9	3920	Veda rosca, lona plástica para uso na construção, fitas isolantes e afins
10.009.00	9	3921	Veda rosca, lona plástica para uso na construção, fitas isolantes e afins
10.010.00	10	3921	Telha de plástico, mesmo reforçada com fibra de vidro
10.011.00	11	3921	Cumeeira de plástico, mesmo reforçada com fibra de vidro
10.012.00	12	3921	Chapas, laminados plásticos em bobina, para uso na construção, exceto os descritos nos itens 10.0 e 11.0
10.013.00	13	3922	Banheiras, boxes para chuveiros, pias, lavatórios, bidês, sanitários e seus assentos e tampas, caixas de descarga e artigos semelhantes para usos sanitários ou higiênicos, de plásticos
10.014.00	14	3924	Artefatos de higiene/toucador de plástico, para uso na construção
10.015.00	15	3925.10.00	Caixa d’água, inclusive sua tampa, de plástico, mesmo reforçadas com fibra de vidro
10.016.00	16	3925.9	Outras telhas, cumeeira e caixa d’água, inclusive sua tampa, de plástico, mesmo reforçadas com fibra de vidro
10.017.00	17	3925.10.00	Artefatos para apetrechamento de construções, de plásticos, não especificados nem compreendidos em outras posições, incluindo persianas, sancas, molduras, apliques e rosetas, caixilhos de polietileno e outros plásticos, exceto os descritos nos itens 15.0 e 16.0
10.017.00	17	3925.9	Artefatos para apetrechamento de construções, de plásticos, não especificados nem compreendidos em outras posições, incluindo persianas, sancas, molduras, apliques e rosetas, caixilhos de polietileno e outros plásticos, exceto os descritos nos itens 15.0 e 16.0
10.018.00	18	3925.20.00	Portas, janelas e seus caixilhos, alizares e soleiras
10.019.00	19	3925.30.00	Postigos, estores (incluídas as venezianas) e artefatos semelhantes e suas partes
10.020.00	20	3926.9	Outras obras de plástico, para uso na construção
10.021.00	21	4814	Papel de parede e revestimentos de parede semelhantes; papel para vitrais
10.022.00	22	6810.19.00	Telhas de concreto
10.023.00	23	6811	Telha, cumeeira e caixa d’água, inclusive sua tampa, de fibrocimento, cimento-celulose
10.024.00	24	6811	Caixas d’água, tanques e reservatórios e suas tampas, telhas, calhas, cumeeiras e afins, de fibrocimento, cimento-celulose ou semelhantes, contendo ou não amianto, exceto os descritos no item 23.0
10.025.00	25	6901.00.00	Tijolos, placas (lajes), ladrilhos e outras peças cerâmicas de farinhas siliciosas fósseis (“kieselghur”, tripolita, diatomita, por exemplo) ou de terras siliciosas semelhantes
10.026.00	26	6902	Tijolos, placas (lajes), ladrilhos e peças cerâmicas semelhantes, para uso na construção, refratários, que não sejam de farinhas siliciosas fósseis nem de terras siliciosas semelhantes
10.027.00	27	6904	Tijolos para construção, tijoleiras, tapa-vigas e produtos semelhantes, de cerâmica
10.028.00	28	6905	Telhas, elementos de chaminés, condutores de fumaça, ornamentos arquitetônicos, de cerâmica, e outros produtos cerâmicos para uso na construção
10.029.00	29	6906.00.00	Tubos, calhas ou algerozes e acessórios para canalizações, de cerâmica
10.030.00	30	6907	Ladrilhos e placas de cerâmica, exclusivamente para pavimentação ou revestimento
10.030.00	30	6908	Ladrilhos e placas de cerâmica, exclusivamente para pavimentação ou revestimento
10.030.01	30.1	6907	Cubos, pastilhas e artigos semelhantes de cerâmica, mesmo com suporte.
10.030.01	30.1	6908	Cubos, pastilhas e artigos semelhantes de cerâmica, mesmo com suporte.
10.031.00	31	6910	Pias, lavatórios, colunas para lavatórios, banheiras, bidês, sanitários, caixas de descarga, mictórios e aparelhos fixos semelhantes para usos sanitários, de cerâmica
10.032.00	32	6912.00.00	Artefatos de higiene/toucador de cerâmica
10.033.00	33	7003	Vidro vazado ou laminado, em chapas, folhas ou perfis, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho
10.034.00	34	7004	Vidro estirado ou soprado, em folhas, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho
10.035.00	35	7005	Vidro flotado e vidro desbastado ou polido em uma ou em ambas as faces, em chapas ou em folhas, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho
10.036.00	36	7007.19.00	Vidros temperados
10.037.00	37	7007.29.00	Vidros laminados
10.038.00	38	7008	Vidros isolantes de paredes múltiplas
10.039.00	39	7016	Blocos, placas, tijolos, ladrilhos, telhas e outros artefatos, de vidro prensado ou moldado, mesmo armado, para uso na construção; cubos, pastilhas e outros artigos semelhantes
10.040.00	40	7214.20.00	Barras próprias para construções, exceto vergalhões
10.041.00	41	7308.90.10	Outras barras próprias para construções, exceto vergalhões
10.042.00	42	7214.20.00	Vergalhões
10.043.00	43	7213	Outros vergalhões
10.043.00	43	7308.90.10	Outros vergalhões
10.044.00	44	7217.10.90	Fios de ferro ou aço não ligados, não revestidos, mesmo polidos; cordas, cabos, tranças (entrançados), lingas e artefatos semelhantes, de ferro ou aço, não isolados para usos elétricos
10.044.00	44	7312	Fios de ferro ou aço não ligados, não revestidos, mesmo polidos; cordas, cabos, tranças (entrançados), lingas e artefatos semelhantes, de ferro ou aço, não isolados para usos elétricos
10.045.00	45	7217.2	Outros fios de ferro ou aço, não ligados, galvanizados
10.046.00	46	7307	Acessórios para tubos (inclusive uniões, cotovelos, luvas ou mangas), de ferro fundido, ferro ou aço
10.047.00	47	7308.30.00	Portas e janelas, e seus caixilhos, alizares e soleiras de ferro fundido, ferro ou aço
10.048.00	48	7308.40.00	Material para andaimes, para armações (cofragens) e para escoramentos, (inclusive armações prontas, para estruturas de concreto armado ou argamassa armada), eletrocalhas e perfilados de ferro fundido, ferro ou aço, próprios para construção, exceto treliças de aço
10.048.00	48	7308.9	Material para andaimes, para armações (cofragens) e para escoramentos, (inclusive armações prontas, para estruturas de concreto armado ou argamassa armada), eletrocalhas e perfilados de ferro fundido, ferro ou aço, próprios para construção, exceto treliças de aço
10.049.00	49	7308.40.00	Treliças de aço
10.050.00	50	7308.90.90	Telhas metálicas
10.051.00	51	7310	Caixas diversas (tais como caixa de correio, de entrada de água, de energia, de instalação) de ferro, ferro fundido ou aço; próprias para a construção
10.052.00	52	7313.00.00	Arame farpado, de ferro ou aço, arames ou tiras, retorcidos, mesmo farpados, de ferro ou aço, dos tipos utilizados em cercas
10.053.00	53	7314	Telas metálicas, grades e redes, de fios de ferro ou aço
10.054.00	54	7315.11.00	Correntes de rolos, de ferro fundido, ferro ou aço
10.055.00	55	7315.12.90	Outras correntes de elos articulados, de ferro fundido, ferro ou aço
10.056.00	56	7315.82.00	Correntes de elos soldados, de ferro fundido, de ferro ou aço
10.057.00	57	7317	Tachas, pregos, percevejos, escápulas, grampos ondulados ou biselados e artefatos semelhantes, de ferro fundido, ferro ou aço, mesmo com a cabeça de outra matéria, exceto cobre
